tier,cell_type,parent_cell_type,markers,subcluster_resolution,description
broad,Plasma B cells,,Jchain|Mzb1|Igha|Xbp1|Prdm1|Sdc1,,"Antibody-secreting plasma cells; Prdm1, Xbp1, Sdc1 and Jchain are the standard plasma-cell program. Igha added because intestinal plasma cells are predominantly IgA, not IgG"
broad,B cells,,Ms4a1|Cd19|Cd79a|Cd79b,,Mature B lymphocytes; Cd79a/b added for robustness
broad,T cells,,Cd3e|Cd4|Cd8a|Trbc2|Il2rb|Nkg7|Klrd1,,UMBRELLA lymphoid cluster; pan-lymphoid genes added so CD3-negative NK and ILC subsets land here and reach the sub tier
broad,Macrophages,,Cd163|Csf1r|Cd68|Mrc1|Aif1|Lyz2|Fcer1g|Itgam,,"UMBRELLA myeloid cluster; pan-myeloid genes added so dendritic cells, monocytes and neutrophils land here and reach the sub tier"
broad,Mast cells,,Kit|Cpa3|Fcer1a,2,Mast cells; Kit and Mcpt4 added. Intentionally defined at BOTH tiers as a safety net - see the sub-tier row
broad,ICCs,,Kit|Ano1|Etv1|Prkcq,,"Interstitial Cells of Cajal - the pacemaker cells of the gut that generate slow-wave electrical activity driving colonic motility. Mesenchymal-origin, Kit+ Etv1+ Ano1+. Kit is shared with Mast cells, so Etv1 (lineage-specifying TF) and Ano1 (Ca2+-activated Cl- channel, DOG1) are the true discriminators; ICCs are Cpa3-/Fcer1a- unlike mast cells"
broad,Fibroblasts,,Col1a1|Col3a1|Col6a2|Pdgfra,,Stromal fibroblasts defined by collagen expression; Pdgfra added
broad,SMCs,,Des|Cnn1|Myh11|Tagln|Acta2|Actg2|Myl9,,"Smooth muscle cells (intestinal muscularis/visceral); Actg2, Acta2 and Myl9 added as verified SMC markers"
broad,vSMCs,,Myh11|Tagln|Acta2|Rgs5|Notch3|Kcnj8|Pdgfrb,Vascular smooth muscle cells. CAUTION Notch3 is its only exclusive marker here but Notch3 is pan-mural (expressed by pericytes too). vSMC vs pericyte separation is intrinsically hard in scRNA-seq - consider merging if the clusters do not resolve
broad,MM,,Grem2|Nog|Rspo3|Myh11|Acta2|Cnn1,,"Grem2-high muscularis mucosae - a thin smooth-muscle layer at the crypt base that doubles as a stem-cell niche source. Carries a smooth-muscle contractile program (Myh11, Acta2, Cnn1) together with BMP-antagonist / niche factors (Grem2, Nog, Rspo3, Cd81); Foxl1-negative and Pdgfra-low, distinguishing it from telocytes. Lies directly beneath crypt-base ISCs and is a documented source of crypt-base BMP antagonism (Manieri et al. 2023, Dev Cell PMID 36924771), functionally overlapping trophocytes (McCarthy et al. 2020, Cell Stem Cell)"
broad,ENs,,Tubb3|Elavl4|Snap25|Uchl1|Phox2b|Vip|Vat1l,,Enteric neurons; pan-neuronal markers added because Vip labels only a VIP-positive subset
broad,EGCs,,Sox10|Plp1|S100b|Gfap,,Enteric glial cells (peripheral glia); S100b and Gfap added
