gene,lgu_Unaffected,lgcv_Unaffected,dropr_Unaffected,dist_Unaffected,lgu_CRC,lgcv_CRC,dropr_CRC,dist_CRC,mean_diff,dist_sign,dv_score,z_score,pval
CKB,1.1570865,0.5335121,0.2880143112701252,0.0010203798814359436,0.028707165,2.183769,0.9821067821067822,0.0015269742380681997,-1.1283793,1.0,0.10105096633553168,9.879466091058113,0.0
NRXN3,0.13308577,1.5361015,0.9230769230769231,0.006873556135050591,1.0409895,0.5805667,0.3398268398268398,0.10270583548264293,0.90790373,1.0,0.09668874248334867,9.457526704351736,0.0
NKD1,0.0354932,2.139429,0.9821109123434705,0.0036456820438202143,1.2241507,0.45274714,0.19076479076479078,0.09653801787561697,1.1886574,1.0,0.09335929238793646,9.135483136911999,0.0
GRM8,0.278087,1.3030633,0.8658318425760286,0.0564992703371459,1.0718066,0.5969055,0.3453102453102453,0.13590280268232952,0.79371953,1.0,0.08549642964912012,8.374941818035772,0.0
TRPM3,0.03125183,2.1838858,0.9838998211091234,0.002721826965919624,0.6347933,0.86286175,0.6230880230880231,0.07797114096627572,0.60354143,1.0,0.07591258479743491,7.447937208452181,9.481304630298837e-14
DST,1.1798044,0.4984182,0.25760286225402507,0.0008750342730492608,0.7364896,0.70768714,0.484992784992785,0.014618119710690868,-0.44331485,1.0,0.0731872943660832,7.1843314394300695,6.754596881819452e-13
AC009975.1,0.025636824,2.2883642,0.9856887298747764,0.001957956125812659,0.80002606,0.71468407,0.4893217893217893,0.0665525019178926,0.7743892,1.0,0.06502516646264543,6.394843472169496,1.60711888241849e-10
NCKAP5,0.4489768,0.9839376,0.7173524150268337,0.005167982915255344,0.9160289,0.62900716,0.39336219336219336,0.06294080333880422,0.4670521,1.0,0.057874852908428163,5.703224009698554,1.1756231987902765e-08
AC011287.1,0.26653364,1.222312,0.8407871198568873,0.00868530291461381,1.0909007,0.51043695,0.25815295815295813,0.0637564709296565,0.82436705,1.0,0.0557410749862423,5.496832733514008,3.866731446144911e-08
SLC38A11,0.03584511,2.1251242,0.9785330948121646,0.0022579216832905274,0.8712613,0.65112656,0.4174603174603175,0.053178501061071366,0.8354162,1.0,0.05189218043977139,5.12454551042188,2.9825630454283214e-07
ADAMTSL1,1.1488844,0.48038825,0.23792486583184258,0.0005090277465386939,0.041673053,2.0102503,0.9738816738816739,0.001354151229206936,-1.1072114,1.0,0.049822507174051456,4.924354805402595,8.463914533685113e-07
ITPR2,0.5834774,0.84717673,0.6171735241502684,7.77648724099256e-05,0.8586382,0.6488543,0.41284271284271284,0.04113656250767289,0.27516085,1.0,0.04773606824613031,4.722542429082934,2.329144779267267e-06
ROBO2,0.04853578,1.945407,0.9677996422182469,2.234186602110052e-05,0.4150164,1.0456426,0.753968253968254,0.04519599724928704,0.36648065,1.0,0.047052640448480204,4.656437360757688,3.2172810435771027e-06
LINC01811,0.012574612,2.5562818,0.9928443649373881,1.2687658209778954e-05,1.181458,0.42563185,0.1774891774891775,0.04661833684090864,1.1688834,1.0,0.04664853194370725,4.61734966135377,3.8867206522130715e-06
AC007277.1,0.0036248295,3.2036445,0.998211091234347,0.0004097790502073337,0.64878166,0.8090801,0.5836940836940837,0.04446967562854563,0.6451568,1.0,0.04434193161747378,4.3942420080084155,1.1115992821109089e-05
